Record,Location,X,Y,Longitude,Latitude,Date,Time,Environment,Road_Surface,Traffic_Control,Collision_Location,Light,Collision_Classification,Impact_type,Neighborhood
9114,KIRKWOOD AVE btwn LEPAGE AVE & MERIVALE RD,364843.7164,5026647.628,-75.73335,45.3772,2017-01-05,1:21:00 PM,01 - Clear,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end,Carlington
9115,KIRKWOOD AVE btwn MACY BLVD & DOVERCOURT AVE,364180.065,5027710.225,-75.7417,45.38682,2017-02-10,9:15:00 AM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,04 - Sideswipe,Westboro
9116,KIRKWOOD AVE btwn RICHMOND RD & LYMAN ST,363783.943,5028623.544,-75.74665,45.39507,2017-01-13,12:50:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle,Westboro
9117,KIRKWOOD AVE N @ CARLING AVE,364275.3578,5027492.865,-75.74051,45.38485,2017-05-18,3:00:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Westboro
9118,KIRKWOOD AVE N @ CARLING AVE,364275.1119,5027494.071,-75.74051,45.38486,2017-06-21,4:30:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Westboro
9119,KIRKWOOD AVE N @ CARLING AVE,364276.6955,5027492.865,-75.74049,45.38485,2017-05-07,12:27:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Westboro
9120,KIRKWOOD AVE N @ CARLING AVE,364275.0819,5027492.42,-75.74051,45.38485,2017-07-07,12:58:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Westboro
9121,KIRKWOOD AVE N @ CARLING AVE,364275.7808,5027492.064,-75.7405,45.38484,2017-07-06,4:54:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Westboro
9122,KIRKWOOD AVE N @ CARLING AVE,364274.5407,5027494.235,-75.74052,45.38486,2017-08-24,9:16:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Westboro
9123,KIRKWOOD AVE N @ CARLING AVE,364275.4875,5027493.052,-75.74051,45.38485,2017-10-23,4:14:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,Westboro
9124,KIRKWOOD AVE N @ CARLING AVE,364276.1927,5027492.627,-75.7405,45.38485,2017-10-03,7:34:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,Westboro
9125,KIRKWOOD AVE N @ CARLING AVE,364276.6706,5027493.583,-75.74049,45.38486,2017-09-11,3:51:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Westboro
9126,KIRKWOOD AVE N @ CARLING AVE,364275.5151,5027494.236,-75.74051,45.38486,2017-12-06,6:07:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,04 - Sideswipe,Westboro
9127,KIRKWOOD AVE N @ CARLING AVE,364275.0376,5027492.904,-75.74051,45.38485,2017-12-14,3:50:00 PM,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,Westboro
9128,KIRKWOOD AVE N @ CARLING AVE,364275.1119,5027494.071,-75.74051,45.38486,2017-11-10,2:22:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Westboro
9129,KIRKWOOD AVE N @ CARLING AVE,364274.443,5027494.071,-75.74052,45.38486,2017-01-30,6:52:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,05 - Turning movement,Westboro
9130,KIRKWOOD AVE N @ CARLING AVE,364275.3578,5027493.534,-75.74051,45.38486,2017-04-17,10:35:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,04 - Sideswipe,Westboro
9131,KIRKWOOD AVE N @ CARLING AVE,364275.3578,5027492.196,-75.74051,45.38485,2017-03-14,8:52:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Westboro
9132,KIRKWOOD AVE N @ CARLING AVE,364276.0267,5027494.203,-75.7405,45.38486,2017-03-18,9:31:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,05 - Turning movement,Westboro
9133,KIRKWOOD AVE N @ CARLING AVE,364275.3578,5027491.528,-75.74051,45.38484,2017-04-22,12:02:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,Westboro
9134,KIRKWOOD AVE N @ CARLING AVE,364276.6955,5027492.196,-75.74049,45.38485,2017-03-20,11:02:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,04 - Sideswipe,Westboro
9135,KIRKWOOD AVE N @ CARLING AVE,364275.4886,5027493.355,-75.74051,45.38486,2017-12-27,7:40:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,02 - Angle,Westboro
9136,KIRKWOOD AVE N @ CARLING AVE,364275.7148,5027492.627,-75.7405,45.38485,2017-12-27,5:40:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Westboro
9137,KITCHENER AVE @ BANK ST,370540.5417,5025497.965,-75.66078,45.36634,2017-06-15,5:55:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Ledbury - Heron Gate - Ridgemont - Elmwood
9138,KITCHENER AVE @ BANK ST,370539.2039,5025500.641,-75.66079,45.36637,2017-05-06,7:22:00 AM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Ledbury - Heron Gate - Ridgemont - Elmwood
9139,KITCHENER AVE @ BANK ST,370540.8761,5025500.272,-75.66077,45.36636,2017-08-08,4:32:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Ledbury - Heron Gate - Ridgemont - Elmwood
9140,KITCHENER AVE @ BANK ST,370540.8765,5025499.972,-75.66077,45.36636,2017-07-24,7:57:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,04 - Sideswipe,Ledbury - Heron Gate - Ridgemont - Elmwood
9141,KITCHENER AVE @ BANK ST,370540.8761,5025500.243,-75.66077,45.36636,2017-10-15,11:06:00 AM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Ledbury - Heron Gate - Ridgemont - Elmwood
9142,KITCHENER AVE @ BANK ST,370540.0177,5025497.397,-75.66078,45.36634,2017-01-04,3:21:00 PM,05 - Drifting Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Ledbury - Heron Gate - Ridgemont - Elmwood
9143,KITCHENER AVE @ BANK ST,370541.9471,5025500.775,-75.66076,45.36637,2017-01-04,6:34:00 PM,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,07 - SMV other,Ledbury - Heron Gate - Ridgemont - Elmwood
9144,KITCHENER AVE @ BANK ST,370541.2106,5025500.641,-75.66077,45.36637,2017-03-14,11:20:00 AM,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Ledbury - Heron Gate - Ridgemont - Elmwood
9145,KITCHENER AVE @ BANK ST,370540.8761,5025500.689,-75.66077,45.36637,2017-12-26,5:12:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Ledbury - Heron Gate - Ridgemont - Elmwood
9146,KITCHENER AVE @ BANK ST,370541.984,5025499.345,-75.66076,45.36635,2017-12-23,5:28:00 PM,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,05 - Turning movement,Ledbury - Heron Gate - Ridgemont - Elmwood
9147,KITCHENER AVE btwn COCHRANE ST & JASPER AVE,370981.5821,5025764.079,-75.65511,45.36869,2017-09-02,4:07:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,03 - Rear end,Ledbury - Heron Gate - Ridgemont - Elmwood
9148,KITIMAT CRES btwn OKANAGAN DR & OKANAGAN DR,359426.7055,5022597.208,-75.80296,45.3412,2017-10-29,11:30:00 AM,02 - Rain,02 - Wet,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Qualicum - Redwood Park
9149,KIWANIS CRT btwn JOHNSTON RD & END,372254.871,5025811.439,-75.63885,45.369,2017-11-30,7:51:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,01 - Approaching,South Keys - Heron Gate - Greenboro West
9150,KLONDIKE RD @ MARCH RD,349262.971,5024060.473,-75.93251,45.35508,2017-07-28,12:51:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,South March
9151,KLONDIKE RD @ MARCH RD,349262.971,5024060.282,-75.93251,45.35508,2017-07-23,1:00:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,South March
9152,KLONDIKE RD @ MARCH RD,349262.4522,5024061.362,-75.93252,45.35509,2017-08-17,6:14:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,03 - Dawn,02 - Non-fatal injury,07 - SMV other,Morgan's Grant
9153,KLONDIKE RD @ MARCH RD,349262.9637,5024060.875,-75.93251,45.35508,2017-10-28,11:01:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,South March
9154,KLONDIKE RD @ MARCH RD,349263.9743,5024060.283,-75.9325,45.35508,2017-11-26,6:56:00 AM,01 - Clear,06 - Ice,01 - Traffic signal,02 - Intersection related,03 - Dawn,02 - Non-fatal injury,07 - SMV other,South March
9155,KLONDIKE RD @ MARCH RD,349262.6366,5024061.621,-75.93252,45.35509,2017-12-07,1:37:00 PM,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Morgan's Grant
9156,KLONDIKE RD @ MARCH RD,349262.971,5024060.763,-75.93251,45.35508,2017-01-03,9:32:00 PM,03 - Snow,03 - Loose snow,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,03 - Rear end,South March
9157,KLONDIKE RD @ MARCH RD,349263.7215,5024061.246,-75.9325,45.35509,2017-02-13,10:42:00 AM,03 - Snow,04 - Slush,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,South March
9158,KLONDIKE RD @ MARCH RD,349262.971,5024061.86,-75.93251,45.35509,2017-12-18,10:19:00 PM,03 - Snow,03 - Loose snow,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Morgan's Grant
9159,KLONDIKE RD @ MARCH VALLEY RD,350279.6198,5024993.192,-75.91945,45.36341,2017-03-01,8:06:00 AM,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle,South March
9160,KLONDIKE RD @ MARCONI AVE,349696.6213,5024463.224,-75.92694,45.35868,2017-09-22,3:30:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,South March
9161,KLONDIKE RD @ MARCONI AVE,349695.6257,5024461.844,-75.92695,45.35866,2017-02-19,7:10:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,03 - Dawn,03 - P.D. only,02 - Angle,South March
9162,KNIGHTS DR btwn QUEENSCOURT CRES & GOUGH RD,372939.7942,5010616.736,-75.6322,45.23222,2017-05-23,11:00:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Manotick
9163,KNIGHTSBRIDGE RD @ WOODROFFE AVE,361624.3224,5026560.843,-75.77447,45.37669,2017-08-10,6:24:00 PM,01 - Clear,02 - Wet,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle,Carlingwood - McKellar Park - Laurentien View
9164,KNOXDALE RD @ NEWHAVEN ST,362539.1964,5021326.508,-75.7634,45.32951,2017-05-05,10:24:00 AM,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
9165,KNOXDALE RD @ NEWHAVEN ST,362538.3525,5021326.826,-75.76341,45.32952,2017-07-10,12:23:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
9166,KNOXDALE RD @ WEST HUNT CLUB RD,361864.1591,5020584.004,-75.77209,45.32289,2017-06-17,10:27:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,07 - Dark,03 - P.D. only,03 - Rear end,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
9167,KNOXDALE RD @ WEST HUNT CLUB RD,361864.3267,5020583.836,-75.77209,45.32288,2017-08-11,4:27:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,02 - Non-fatal injury,03 - Rear end,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
9168,KNOXDALE RD @ WEST HUNT CLUB RD,361864.1636,5020584.716,-75.77209,45.32289,2017-10-24,3:35:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,07 - SMV other,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
9169,KNOXDALE RD @ WEST HUNT CLUB RD,361863.6806,5020584.593,-75.7721,45.32289,2017-01-13,3:30:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
9170,KNOXDALE RD @ WEST HUNT CLUB RD,361863.143,5020585.834,-75.77211,45.3229,2017-02-02,4:51:00 PM,01 - Clear,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
9171,KNOXDALE RD @ WEST HUNT CLUB RD,361863.2078,5020583.76,-75.77211,45.32288,2017-12-19,10:16:00 AM,03 - Snow,05 - Packed snow,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
9172,KNOXDALE RD btwn 33 E OF CAROLA ST & BERTONA ST,362743.9886,5021441.47,-75.76077,45.33053,2017-03-29,1:24:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,02 - Non-fatal injury,07 - SMV other,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
9173,KNOXDALE RD btwn CRAIG HENRY DR & WOODROFFE AVE,363133.5164,5021664.983,-75.75578,45.33251,2017-08-12,4:14:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,07 - SMV other,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
9174,KNOXDALE RD btwn GIBBARD AVE & CONOVER ST,361919.9234,5020956.854,-75.77134,45.32624,2017-10-20,1:36:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
9175,KNOXDALE RD btwn SKIPTON RD & CREMONA CRES,362143.732,5021100.195,-75.76847,45.32751,2017-12-16,3:20:00 PM,01 - Clear,05 - Packed snow,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,02 - Angle,Woodvale - Craig Henry - Manordale - Estates of Arlington Wo
9176,KOHILO CRES S @ HUNTMAR DR,350409.6778,5016558.42,-75.91857,45.2875,2017-11-21,8:13:00 AM,01 - Clear,05 - Packed snow,10 - No control,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Stittsville
9177,KRISTIN WAY btwn ROCKLEDGE RD & BRITTANY DR,371840.6193,5034130.589,-75.64301,45.44389,2017-01-19,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Rockcliffe - Manor Park
9178,LA VERENDRYE DR btwn GATINEAU VIEW CRES & OGILVIE RD,375394.1744,5035182.149,-75.59744,45.453,2017-02-12,12:00:00 AM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Beacon Hill North
9179,LABELLE ST/RAMP @ LEMIEUX ST/HWY417 IC115 RAMP,372542.4244,5031687.538,-75.63437,45.42184,2017-06-06,9:31:00 AM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,02 - Angle,Cummings
9180,LABELLE ST/RAMP @ LEMIEUX ST/HWY417 IC115 RAMP,372543.3926,5031688.569,-75.63436,45.42185,2017-05-10,6:38:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Cummings
9181,LABELLE ST/RAMP @ LEMIEUX ST/HWY417 IC115 RAMP,372541.7204,5031688.023,-75.63438,45.42185,2017-09-29,8:56:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Cummings
9182,LABELLE ST/RAMP @ LEMIEUX ST/HWY417 IC115 RAMP,372542.7237,5031689.238,-75.63437,45.42186,2017-04-01,5:00:00 PM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Cummings
9183,LABELLE ST/RAMP @ LEMIEUX ST/HWY417 IC115 RAMP,372542.0855,5031689.839,-75.63438,45.42186,2017-02-23,11:04:00 AM,01 - Clear,01 - Dry,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Cummings
9184,LABELLE ST/RAMP @ LEMIEUX ST/HWY417 IC115 RAMP,372542.0549,5031687.231,-75.63438,45.42184,2017-03-24,12:40:00 PM,03 - Snow,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Cummings
9185,LABELLE ST/RAMP @ LEMIEUX ST/HWY417 IC115 RAMP,372542.0549,5031688.569,-75.63438,45.42185,2017-04-07,5:21:00 PM,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Cummings
9186,LACASSE AVE @ MCARTHUR AVE,370824.1425,5032757.22,-75.65618,45.43163,2017-08-22,5:30:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,03 - Rear end,Vanier South
9187,LACASSE AVE @ MCARTHUR AVE,370824.6668,5032756.811,-75.65618,45.43163,2017-09-04,7:10:00 PM,02 - Rain,02 - Wet,02 - Stop sign,02 - Intersection related,05 - Dusk,02 - Non-fatal injury,07 - SMV other,Vanier South
9188,LACASSE AVE @ MONTREAL RD,370687.7774,5033405.792,-75.65784,45.43748,2017-07-08,11:43:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,04 - Sideswipe,Vanier South
9189,LACASSE AVE @ MONTREAL RD,370687.6622,5033406.117,-75.65784,45.43748,2017-09-05,3:22:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Vanier South
9190,LACASSE AVE @ MONTREAL RD,370686.8757,5033406.704,-75.65785,45.43749,2017-11-22,9:36:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,03 - P.D. only,05 - Turning movement,Vanier South
9191,LACASSE AVE btwn BLAKE BLVD & MCARTHUR AVE,370818.6464,5032785.722,-75.65625,45.43189,2017-06-04,11:32:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,99 - Other,Vanier South
9192,LACASSE AVE btwn MONTREAL RD & PATTON ST,370726.2205,5033324.678,-75.65736,45.43675,2017-01-06,2:39:00 PM,01 - Clear,06 - Ice,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Vanier South
9193,LACOLLE WAY @ TAYLOR CREEK DR W,384011.2129,5039298.971,-75.48662,45.48912,2017-09-29,8:50:00 AM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,01 - Daylight,03 - P.D. only,05 - Turning movement,Industrial Park
9194,LACROIX AVE btwn TO BE DETERMINED & DUFORD DR (1),382127.6325,5037127.601,-75.51105,45.46979,2017-01-19,9:00:00 PM,01 - Clear,05 - Packed snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle,Queenswood Heights
9195,LACROIX AVE btwn TO BE DETERMINED & DUFORD DR (1),382083.1642,5037109.996,-75.51163,45.46964,2017-02-09,9:19:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Queenswood Heights
9196,LADOUCEUR ST btwn HINCHEY AVE & CARRUTHERS AVE,365193.09,5029661.634,-75.72852,45.40429,2017-05-28,12:00:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle,Hintonburg
9197,LADOUCEUR ST btwn MERTON ST & GARLAND ST,365484.2622,5029858.342,-75.72478,45.40603,2017-12-07,12:02:00 PM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Mechanicsville
9198,LADOUCEUR ST btwn PINHEY ST & MERTON ST,365404.1394,5029751.74,-75.72582,45.40508,2017-02-16,9:00:00 AM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Mechanicsville
9199,LAFONTAINE AVE @ LEVIS AVE,370922.0438,5033236.92,-75.65487,45.43594,2017-06-21,11:45:00 PM,01 - Clear,01 - Dry,02 - Stop sign,02 - Intersection related,07 - Dark,02 - Non-fatal injury,03 - Rear end,Vanier South
9200,LAFONTAINE AVE @ MCARTHUR AVE,370950.0468,5032772.911,-75.65457,45.43176,2017-05-29,1:37:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,05 - Turning movement,Vanier South
9201,LAFONTAINE AVE @ MCARTHUR AVE,370950.0468,5032770.905,-75.65457,45.43174,2017-05-25,10:31:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,05 - Turning movement,Vanier South
9202,LAFONTAINE AVE @ MCARTHUR AVE,370951.146,5032772.291,-75.65456,45.43175,2017-09-03,12:45:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,02 - Intersection related,01 - Daylight,03 - P.D. only,05 - Turning movement,Vanier South
9203,LAFONTAINE AVE @ MCARTHUR AVE,370949.7123,5032772.476,-75.65458,45.43176,2017-07-24,12:15:00 PM,02 - Rain,02 - Wet,01 - Traffic signal,03 - At intersection,01 - Daylight,03 - P.D. only,03 - Rear end,Vanier South
9204,LAFONTAINE AVE @ MCARTHUR AVE,370949.1659,5032771.574,-75.65458,45.43175,2017-10-01,3:51:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,02 - Non-fatal injury,02 - Angle,Vanier South
9205,LAFONTAINE AVE @ MCARTHUR AVE,370949.7272,5032771.702,-75.65458,45.43175,2017-09-16,9:39:00 PM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,07 - Dark,02 - Non-fatal injury,07 - SMV other,Vanier South
9206,LAFONTAINE AVE @ RICHELIEU AVE,370928.0403,5033170.592,-75.6548,45.43534,2017-10-29,4:00:00 PM,02 - Rain,02 - Wet,02 - Stop sign,03 - At intersection,01 - Daylight,03 - P.D. only,02 - Angle,Vanier South
9207,LAFONTAINE AVE btwn MCARTHUR AVE & BLAKE BLVD,370942.02,5032872.577,-75.65466,45.43266,2017-05-17,7:06:00 PM,01 - Clear,01 - Dry,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Vanier South
9208,LAFRAMBOISE PL btwn CHARLOTTE ST & ROCKWOOD ST,368992.0318,5033256.915,-75.67953,45.4363,2017-11-26,12:00:00 AM,03 - Snow,03 - Loose snow,10 - No control,01 - Non intersection,07 - Dark,03 - P.D. only,06 - SMV unattended vehicle,Lower Town
9209,LAIRD ST btwn MEADOWLANDS DR W & CALVERT ST,364350.1514,5023328.786,-75.74005,45.34738,2017-07-29,12:00:00 AM,01 - Clear,01 - Dry,10 - No control,04 - At/near private drive,00 - Unknown,03 - P.D. only,06 - SMV unattended vehicle,Crestview - Meadowlands
9210,LAJOIE ST @ MONTREAL RD,370534.3802,5033325.25,-75.65981,45.43677,2017-11-03,10:15:00 AM,01 - Clear,01 - Dry,01 - Traffic signal,03 - At intersection,01 - Daylight,01 - Fatal injury,07 - SMV other,Vanier South
9211,LAKEBREEZE CIR btwn BOISDALE WALK & LAKEBREEZE CIR,385924.7299,5034723.547,-75.4629,45.44773,2017-12-19,1:22:00 PM,01 - Clear,03 - Loose snow,10 - No control,04 - At/near private drive,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Avalon
9212,LAKEPOINTE DR btwn TENTH LINE RD & AQUAVIEW DR,384381.5636,5035471.09,-75.4825,45.45464,2017-08-12,10:57:00 AM,02 - Rain,02 - Wet,10 - No control,01 - Non intersection,01 - Daylight,03 - P.D. only,06 - SMV unattended vehicle,Avalon
9213,LAKEPOINTE DR btwn TENTH LINE RD & AQUAVIEW DR,384351.3808,5035459.049,-75.48289,45.45453,2017-08-11,6:00:00 PM,99 - Other,99 - Other,10 - No control,01 - Non intersection,99 - Other,03 - P.D. only,06 - SMV unattended vehicle,Avalon
9214,LAKERIDGE DR btwn GOLDENBROOK WAY & TO BE DETERMINED,385023.1631,5034632.084,-75.47444,45.44701,2017-02-13,7:00:00 AM,01 - Clear,03 - Loose snow,10 - No control,01 - Non intersection,03 - Dawn,03 - P.D. only,06 - SMV unattended vehicle,Avalon
